"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"V79",0.000920540214069767,-0.000591142436692169,0.00189341482736724,-0.00146677250404849,0.00102013693991429,0.000268308067209062,0.00334256251024234,-0.00027857888879704,-0.000820010352476771
"V80",-0.00529259655083251,0.0167908876212479,-0.00803020616342035,0.00599901877795507,-0.00543510878164761,-0.00145641194010843,0.00963515212266435,0.00201233068858474,-0.0209307495454959
"V81",-0.0043487989291262,0.0193024948790513,-0.0104769999704911,-0.0102631877718451,0.0128095752719257,-0.0085118645203953,0.00286704653509314,0.00776308679615548,-0.00821607340647267
"V82",-0.00233021160357475,-0.00588081440482022,-0.000877623706991595,0.0161273203026527,-0.000784344305023007,0.00101130711897407,-0.00325315173287592,0.00312608806045172,-0.0195549299136737
"V83",-0.0026557309003183,-0.00331988987676273,0.00118722757327105,0.002097090744452,-0.00189361148627913,0.00146240395791721,0.00141360341746796,-0.000918786658124125,-0.0027688234135969
"V84",0.00827906642514203,-0.0142847979897397,-0.0160327965508258,0.0112120925895723,0.0121087279970634,0.00871000608909404,0.00493295165778304,-0.0183986582271615,-0.0229450037069426
"V85",-0.00245505870532507,0.000396690631884532,-0.00860972998764619,0.016877592204087,-0.00271816463873749,0.0043805466359322,-0.00339164734903514,0.00122800298348868,-0.0109409576234631
"V86",0.0173728550893496,-0.00800476090518139,-0.00406065923208925,-0.00369245187820369,-0.00239408822710937,0.00238777044072319,-0.00360953514582908,0.00680171686588204,0.00139160586645623
"V87",0.000536629812281776,0.00376784906560398,-0.0399318898945317,0.0171263371368061,0.0178547417029995,0.00962264293265294,0.016688876935581,-0.0134959742025457,0.00472037740928707
"V88",-0.00315709414670989,-0.000418017387922977,0.000908115040924306,0.00187566518996211,-0.00206690846337705,0.00105044167683364,-0.00223800695629457,0.00105175861605423,-0.000995764796416192
"V89",0.00860044662209665,-0.00267857250174503,-0.00814809767468066,-0.00952102041328023,0.00450804071749227,0.0121443036482538,0.00153365877413635,-0.0025818309651415,0.00864878740459071
"V90",-0.00167117999391926,0.00732206323336026,0.00490641751498624,-0.00427328914226673,0.00128861471250317,-0.00437038056674725,0.00444006391395358,-0.00419693279603049,0.0102089457729874
"V91",-0.000721850616042093,-0.00480660911439066,-0.00201641085137438,-0.00261214595602708,0.00586629138864855,-0.00301835922266254,-0.00322109754637956,-0.000789676169919468,0.00416647579742097
"V92",-0.00195791192872675,0.00612837160476307,-0.00757113918322904,-0.00825440562507167,-0.000579926389742118,-0.00189279325971622,-0.00182836155909103,-0.0045076964242757,0.000999549966125289
"V93",-0.00722174727315342,-0.00572924205504494,0.00143623623755457,-0.00244467373886614,-0.00517484428496732,-0.00304941747633143,0.00145093517685005,-0.00445558834595334,0.00220033859062059
"V94",0.00120825783399722,0.000480015835820728,0.00279303666575085,-0.00232569248501681,0.0060208287464831,-0.0043739091289552,-0.00540117668493252,-7.69276042411988e-05,0.00390963803804845
"V95",0.00733125052757417,-0.012642772688546,-0.00578617381906894,0.00207008981390721,0.0105238844566058,-0.0117603163577285,-0.00301058612807532,0.00765422420977268,-0.00352817740081317
"V96",-0.00673885532766816,0.0130404845980952,-0.00170295621736184,0.00256773037464406,-0.00199788549334151,0.00705440629135824,1.6371201325333e-05,0.0063324553279022,3.1610477758128e-05
"V97",-0.00764193765722857,0.00027598851087056,0.00402204334690221,0.00387487527022724,0.0101419075941206,0.000932261345022199,-0.00629799824426726,-0.00398943696217506,0.00728903922494961
"V98",-0.00810327505659088,-0.0032662928057902,-0.00594374982122438,-0.00259208805037367,-0.00187544308262016,-0.00601642305936894,-0.00240791177781318,-0.0035552649311738,-0.00425018166439459
"V99",-0.00299942255414905,0.00067636785256148,0.00225682750889888,0.00368099020069496,-0.00106806135908274,-0.00481931908427952,0.00326048886853517,-0.00123434430042595,0.000803907143033596
"V100",-0.0125695478065446,-0.00739763077350392,-0.0103226333069843,0.0248264083972449,0.000810745748102814,0.0215781131343959,-0.00689660965572569,0.00643854282404661,0.00512962036921188
"V101",-0.0176458606334749,-0.00363471808727042,-0.00196508484220106,-0.00350291702418876,-0.000443907400281342,-0.00108021144495087,-0.0110350663503543,0.00404387658977832,-0.000888577564643606
"V102",0.00386522123103845,0.00180429695291903,-0.00109262969568478,-0.00776878827920226,0.0141917784840459,-0.0107437304684321,-0.0101967856408135,0.00759740500181516,0.00646408985824058
"V103",0.0048270363987488,0.000856211019742944,-0.00226039763210547,0.00182701957270013,-0.00112545752199532,-0.00302414870839057,0.00694622070062648,-0.018406685145464,-0.00422076265181006
"V104",-0.000692036831215031,0.00196306418688801,0.00428372526928831,-0.00123472957468155,0.00138033533168783,0.0019724409669984,-0.00231904015404641,-0.00210141952446907,-0.00246630219223478
"V105",-0.00867919827221054,0.00153492186162473,-0.00172778266326924,0.000665867255320977,-0.00186439016153106,-0.00379801409514953,-0.00347810345179171,0.00144035195034062,-0.00183624443988359
