"","X1","X2"
"V219",0.0130729656915936,0.0131988008976174
"V220",0.00893092968503543,0.00951647898509921
"V221",-0.0343678765186214,0.0158196729047987
"V222",-0.00396467127889263,0.00630432997849678
"V223",0.000774324485752952,0.00323487872928886
"V224",0.00107673754032725,-0.00206441423540988
"V225",0.00611390315279421,-0.00746748870380455
"V226",-0.00202475590662131,-0.000627343229350664
"V227",0.00427042955282817,-0.00593370171361173
"V228",-0.00087766095157057,-0.00538479531258603
"V229",0.00378934146556356,0.00683658699333838
"V230",-0.00902103942783806,-0.00437689550109277
"V231",-0.00314113375736839,0.000757305472990653
"V232",-0.00530820900698477,0.003200627815109
"V233",-0.0121676243263782,-0.00214513328606994
"V234",-0.00718222111452416,0.00390527603033169
"V235",-0.00379370293870007,-0.000572703737628701
"V236",-0.00443135645811797,0.000641582546818904
